source,source_type,count
Google,Organic/Digital,7477
DM - OAK,Direct Mail,6185
Referral,Organic/Digital,6165
Facebook,Organic/Digital,5739
Email,Organic/Digital,4017
Direct Mail,Direct Mail,3433
Text Campaign,Organic/Digital,2665
DM - MAPLE,Direct Mail,2230
Home Advisor,Organic/Digital,2004
DM - BIRCH,Direct Mail,1263
Google Adwords - Verified,Organic/Digital,1140
Truck,Organic/Digital,999
Lawn Sign,Organic/Digital,892
Angi,Organic/Digital,790
Next Door,Organic/Digital,559
DM - WALNUT,Direct Mail,507
DM - ELM,Direct Mail,466
Cross Selling GLF/GPS,Organic/Digital,393
DM - CHESTNUT,Direct Mail,341
DM - SYCAMORE,Direct Mail,170
DM - PINE,Direct Mail,157
Best Pick Reports,Organic/Digital,108
Google Local,Organic/Digital,84
DM - 2 Free Apps QJ5K2P,Direct Mail,74
YouTube,Organic/Digital,64
DM - 1st App 50% X9T4MZ,Direct Mail,46
Bing,Organic/Digital,41
Billboard,Organic/Digital,32
Yelp,Organic/Digital,7
Influencer,Organic/Digital,5
PA Media Group,Organic/Digital,4
Radio / Podcast,Organic/Digital,1
